order_id,customer_id,product_id,order_date,quantity,discount_pct,sales_amount,cost_amount,profit,order_status,month,month_name,year
O00032,C0154,P016,2025-06-13,4,0.0,1026.24,672.24,354.0,Cancelled,6,June,2025
O00033,C0291,P002,2025-05-21,15,0.0,7463.85,5280.45,2183.4,Delivered,5,May,2025
O00034,C0063,P040,2025-11-10,12,0.1,1173.64,1012.8,160.84,Delivered,11,November,2025
O00035,C0244,P017,2025-05-08,15,0.05,1581.04,1231.95,349.09,Delivered,5,May,2025
O00036,C0025,P034,2025-08-27,10,0.0,5154.9,4237.9,917.0,Delivered,8,August,2025
O00037,C0090,P042,2025-11-20,7,0.1,1103.19,774.83,328.36,Delivered,11,November,2025
O00038,C0075,P016,2025-10-23,6,0.15,1308.46,1008.36,300.1,Delivered,10,October,2025
O00039,C0294,P038,2025-07-06,5,0.15,1862.69,1345.75,516.94,Delivered,7,July,2025
O00040,C0210,P002,2025-07-27,4,0.1,1791.32,1408.12,383.2,Returned,7,July,2025
O00041,C0017,P002,2025-08-08,15,0.0,7463.85,5280.45,2183.4,Delivered,8,August,2025
O00042,C0128,P026,2025-07-09,7,0.05,1947.39,1577.94,369.45,Delivered,7,July,2025
O00043,C0251,P013,2025-12-12,12,0.25,3148.65,2753.76,394.89,Delivered,12,December,2025
O00044,C0179,P047,2025-10-11,5,0.1,1510.6,1236.5,274.1,Delivered,10,October,2025
O00045,C0182,P031,2025-12-18,5,0.15,3099.61,2175.7,923.91,Delivered,12,December,2025
O00046,C0152,P034,2025-08-25,15,0.0,7732.35,6356.85,1375.5,Delivered,8,August,2025
O00047,C0025,P039,2025-07-13,1,0.1,427.17,382.78,44.39,Delivered,7,July,2025
O00048,C0180,P003,2025-10-14,2,0.0,287.6,208.98,78.62,Delivered,10,October,2025
O00049,C0198,P008,2025-09-16,5,0.1,428.27,369.05,59.22,Delivered,9,September,2025
O00050,C0161,P023,2025-09-03,13,0.2,5311.38,4090.32,1221.06,Delivered,9,September,2025
O00051,C0177,P014,2025-05-16,3,0.25,690.03,754.05,-64.02,Delivered,5,May,2025
O00052,C0285,P027,2025-10-07,14,0.1,4023.43,2800.42,1223.01,Delivered,10,October,2025
O00053,C0063,P029,2025-09-28,13,0.1,7332.27,5460.65,1871.62,Delivered,9,September,2025
O00054,C0150,P039,2025-06-20,2,0.2,759.41,765.56,-6.15,Delivered,6,June,2025
O00055,C0154,P039,2025-06-08,14,0.15,5648.1,5358.92,289.18,Delivered,6,June,2025
O00056,C0156,P001,2025-07-20,14,0.0,3305.96,2015.86,1290.1,Delivered,7,July,2025
O00057,C0049,P017,2025-02-14,4,0.1,399.42,328.52,70.9,Delivered,2,February,2025
O00058,C0084,P041,2025-09-21,4,0.0,2298.96,1451.96,847.0,Delivered,9,September,2025
O00059,C0177,P030,2025-03-12,4,0.1,2187.5,1512.04,675.46,Delivered,3,March,2025
O00060,C0148,P013,2025-12-30,4,0.1,1259.46,917.92,341.54,Delivered,12,December,2025
O00061,C0118,P021,2025-04-13,3,0.1,1465.42,1107.6,357.82,Delivered,4,April,2025
O00062,C0063,P019,2025-05-05,13,0.05,8953.01,5794.49,3158.52,Delivered,5,May,2025
O00063,C0189,P019,2025-11-09,12,0.0,8699.28,5348.76,3350.52,Delivered,11,November,2025
O00064,C0049,P025,2025-10-13,7,0.1,2342.97,1947.05,395.92,Delivered,10,October,2025
O00065,C0257,P022,2025-08-18,9,0.15,1718.57,1198.98,519.59,Delivered,8,August,2025
O00066,C0224,P031,2025-05-26,12,0.15,7439.06,5221.68,2217.38,Delivered,5,May,2025
O00067,C0141,P017,2025-07-16,5,0.05,527.01,410.65,116.36,Delivered,7,July,2025
O00068,C0215,P023,2025-08-09,4,0.2,1634.27,1258.56,375.71,Delivered,8,August,2025
O00069,C0211,P032,2025-03-01,11,0.2,928.22,856.13,72.09,Delivered,3,March,2025
O00070,C0032,P010,2025-04-08,2,0.0,407.66,295.34,112.32,Delivered,4,April,2025
O00071,C0158,P010,2025-06-20,2,0.0,407.66,295.34,112.32,Delivered,6,June,2025
O00072,C0285,P036,2025-06-22,5,0.15,277.61,266.3,11.31,Delivered,6,June,2025
O00073,C0286,P008,2025-05-31,7,0.15,566.26,516.67,49.59,Delivered,5,May,2025
O00074,C0144,P020,2025-12-16,10,0.25,1849.28,1620.0,229.28,Delivered,12,December,2025
O00075,C0019,P032,2025-05-02,10,0.2,843.84,778.3,65.54,Delivered,5,May,2025
O00076,C0018,P050,2025-04-18,9,0.1,2330.29,1726.11,604.18,Delivered,4,April,2025
O00077,C0257,P014,2025-01-04,13,0.1,3588.16,3267.55,320.61,Delivered,1,January,2025
O00078,C0078,P050,2025-04-03,7,0.0,2013.83,1342.53,671.3,Delivered,4,April,2025
O00079,C0175,P028,2025-01-06,5,0.0,1013.75,866.35,147.4,Delivered,1,January,2025
O00080,C0194,P046,2025-10-15,10,0.1,3603.24,3077.1,526.14,Delivered,10,October,2025
O00081,C0113,P024,2025-04-16,10,0.1,3887.91,3481.0,406.91,Delivered,4,April,2025
O00082,C0114,P015,2025-05-26,10,0.1,725.4,470.3,255.1,Returned,5,May,2025
O00083,C0222,P022,2025-09-28,6,0.15,1145.72,799.32,346.4,Delivered,9,September,2025
O00084,C0166,P030,2025-04-06,11,0.05,6349.84,4158.11,2191.73,Delivered,4,April,2025
O00085,C0132,P004,2025-08-17,12,0.1,2506.36,1950.72,555.64,Delivered,8,August,2025
O00086,C0264,P013,2025-07-21,3,0.0,1049.55,688.44,361.11,Delivered,7,July,2025
O00087,C0055,P023,2025-07-31,5,0.1,2298.19,1573.2,724.99,Delivered,7,July,2025
O00088,C0131,P008,2025-01-06,8,0.15,647.16,590.48,56.68,Cancelled,1,January,2025
O00089,C0288,P018,2025-04-22,1,0.15,54.45,51.93,2.52,Delivered,4,April,2025
O00090,C0266,P012,2025-11-19,12,0.25,1381.23,1087.2,294.03,Delivered,11,November,2025
O00091,C0162,P031,2025-04-16,1,0.05,692.85,435.14,257.71,Delivered,4,April,2025
O00092,C0087,P014,2025-05-19,7,0.1,1932.08,1759.45,172.63,Delivered,5,May,2025
O00093,C0055,P034,2025-10-26,14,0.05,6856.02,5933.06,922.96,Delivered,10,October,2025
O00094,C0288,P018,2025-04-06,5,0.1,288.27,259.65,28.62,Delivered,4,April,2025
O00095,C0178,P034,2025-12-03,14,0.2,5773.49,5933.06,-159.57,Cancelled,12,December,2025
O00096,C0008,P011,2025-10-24,5,0.15,1706.59,1360.15,346.44,Delivered,10,October,2025
O00097,C0247,P041,2025-08-02,1,0.2,459.79,362.99,96.8,Cancelled,8,August,2025
O00098,C0255,P012,2025-10-18,9,0.0,1381.23,815.4,565.83,Delivered,10,October,2025
O00099,C0054,P049,2025-01-22,1,0.2,539.46,397.81,141.65,Delivered,1,January,2025
O00100,C0249,P015,2025-07-12,5,0.0,403.0,235.15,167.85,Delivered,7,July,2025
O00101,C0239,P031,2025-05-30,10,0.2,5834.56,4351.4,1483.16,Delivered,5,May,2025
O00102,C0229,P049,2025-09-04,9,0.05,5765.44,3580.29,2185.15,Delivered,9,September,2025
O00103,C0067,P029,2025-09-24,14,0.05,8334.98,5880.7,2454.28,Delivered,9,September,2025
O00104,C0051,P026,2025-09-08,15,0.1,3953.34,3381.3,572.04,Delivered,9,September,2025
O00105,C0097,P018,2025-01-03,4,0.2,204.99,207.72,-2.73,Delivered,1,January,2025
O00106,C0092,P032,2025-11-12,13,0.0,1371.24,1011.79,359.45,Delivered,11,November,2025
O00107,C0264,P022,2025-03-17,8,0.05,1707.34,1065.76,641.58,Returned,3,March,2025
O00108,C0291,P038,2025-03-28,6,0.2,2103.74,1614.9,488.84,Delivered,3,March,2025
O00109,C0096,P017,2025-09-27,11,0.05,1159.43,903.43,256.0,Delivered,9,September,2025
O00110,C0088,P023,2025-08-13,15,0.0,7660.65,4719.6,2941.05,Delivered,8,August,2025
O00111,C0078,P024,2025-01-18,3,0.1,1166.37,1044.3,122.07,Delivered,1,January,2025
O00112,C0288,P050,2025-04-23,4,0.05,1093.22,767.16,326.06,Delivered,4,April,2025
O00113,C0120,P008,2025-09-08,2,0.2,152.27,147.62,4.65,Delivered,9,September,2025
O00114,C0165,P041,2025-08-21,1,0.15,488.53,362.99,125.54,Delivered,8,August,2025
O00115,C0182,P006,2025-11-25,13,0.1,4502.39,3129.49,1372.9,Delivered,11,November,2025
O00116,C0223,P005,2025-10-06,14,0.25,2875.95,2881.34,-5.39,Delivered,10,October,2025
O00117,C0007,P044,2025-07-21,8,0.1,1069.27,758.48,310.79,Delivered,7,July,2025
O00118,C0263,P029,2025-03-24,1,0.0,626.69,420.05,206.64,Delivered,3,March,2025
O00119,C0161,P028,2025-05-05,14,0.05,2696.58,2425.78,270.8,Delivered,5,May,2025
O00120,C0151,P011,2025-06-24,13,0.1,4698.14,3536.39,1161.75,Delivered,6,June,2025
O00121,C0085,P001,2025-03-10,11,0.0,2597.54,1583.89,1013.65,Delivered,3,March,2025
O00122,C0147,P043,2025-02-16,1,0.2,116.08,94.55,21.53,Delivered,2,February,2025
O00123,C0112,P019,2025-09-13,4,0.15,2464.8,1782.92,681.88,Returned,9,September,2025
O00124,C0036,P009,2025-08-03,10,0.05,4567.12,2845.1,1722.02,Delivered,8,August,2025
O00125,C0285,P027,2025-01-30,12,0.1,3448.66,2400.36,1048.3,Delivered,1,January,2025
O00126,C0188,P034,2025-10-08,10,0.15,4381.66,4237.9,143.76,Delivered,10,October,2025
O00127,C0082,P044,2025-08-25,15,0.2,1782.12,1422.15,359.97,Delivered,8,August,2025
O00128,C0002,P004,2025-09-05,6,0.2,1113.94,975.36,138.58,Delivered,9,September,2025
O00129,C0197,P036,2025-01-25,9,0.1,529.09,479.34,49.75,Delivered,1,January,2025
O00130,C0011,P018,2025-03-15,1,0.15,54.45,51.93,2.52,Returned,3,March,2025
O00131,C0234,P015,2025-07-25,7,0.1,507.78,329.21,178.57,Delivered,7,July,2025
O00132,C0195,P013,2025-11-10,10,0.1,3148.65,2294.8,853.85,Delivered,11,November,2025
O00133,C0119,P019,2025-04-04,11,0.0,7974.34,4903.03,3071.31,Delivered,4,April,2025
O00134,C0020,P049,2025-05-07,5,0.0,3371.6,1989.05,1382.55,Delivered,5,May,2025
O00135,C0261,P006,2025-01-25,12,0.1,4156.06,2888.76,1267.3,Delivered,1,January,2025
O00136,C0293,P048,2025-11-30,15,0.05,3184.45,2662.5,521.95,Delivered,11,November,2025
O00137,C0256,P012,2025-12-21,8,0.0,1227.76,724.8,502.96,Delivered,12,December,2025
O00138,C0222,P037,2025-04-26,14,0.15,5617.04,4759.72,857.32,Delivered,4,April,2025
O00139,C0226,P017,2025-02-17,7,0.0,776.65,574.91,201.74,Delivered,2,February,2025
O00140,C0053,P023,2025-08-14,4,0.1,1838.56,1258.56,580.0,Delivered,8,August,2025
O00141,C0280,P026,2025-09-23,4,0.1,1054.22,901.68,152.54,Delivered,9,September,2025
O00142,C0081,P029,2025-04-09,6,0.25,2820.11,2520.3,299.81,Delivered,4,April,2025
O00143,C0202,P033,2025-01-11,6,0.1,2977.24,2013.72,963.52,Delivered,1,January,2025
O00144,C0158,P027,2025-03-26,9,0.0,2873.88,1800.27,1073.61,Delivered,3,March,2025
O00145,C0120,P025,2025-08-02,12,0.1,4016.52,3337.8,678.72,Delivered,8,August,2025
O00146,C0059,P010,2025-06-22,5,0.15,866.28,738.35,127.93,Delivered,6,June,2025
O00147,C0215,P047,2025-07-28,8,0.25,2014.14,1978.4,35.74,Delivered,7,July,2025
O00148,C0128,P023,2025-03-05,5,0.1,2298.19,1573.2,724.99,Delivered,3,March,2025
O00149,C0224,P021,2025-09-15,2,0.05,1031.22,738.4,292.82,Delivered,9,September,2025
O00150,C0209,P021,2025-11-28,15,0.2,6513.0,5538.0,975.0,Cancelled,11,November,2025
O00151,C0115,P043,2025-05-01,6,0.0,870.6,567.3,303.3,Delivered,5,May,2025
O00152,C0209,P013,2025-10-25,9,0.1,2833.79,2065.32,768.47,Delivered,10,October,2025
O00153,C0014,P037,2025-02-23,13,0.1,5522.63,4419.74,1102.89,Delivered,2,February,2025
O00154,C0009,P033,2025-11-27,3,0.0,1654.02,1006.86,647.16,Cancelled,11,November,2025
O00155,C0040,P024,2025-09-29,1,0.05,410.39,348.1,62.29,Delivered,9,September,2025
O00156,C0237,P044,2025-08-29,1,0.05,141.08,94.81,46.27,Returned,8,August,2025
O00157,C0281,P011,2025-08-31,13,0.15,4437.13,3536.39,900.74,Cancelled,8,August,2025
O00158,C0201,P017,2025-01-18,3,0.2,266.28,246.39,19.89,Delivered,1,January,2025
O00159,C0246,P004,2025-07-06,10,0.05,2204.66,1625.6,579.06,Delivered,7,July,2025
O00160,C0278,P047,2025-12-12,5,0.15,1426.68,1236.5,190.18,Returned,12,December,2025
O00161,C0235,P025,2025-05-24,3,0.0,1115.7,834.45,281.25,Delivered,5,May,2025
O00162,C0004,P030,2025-09-19,9,0.1,4921.88,3402.09,1519.79,Delivered,9,September,2025
O00163,C0154,P009,2025-12-30,8,0.0,3846.0,2276.08,1569.92,Delivered,12,December,2025
O00164,C0029,P021,2025-08-27,3,0.2,1302.6,1107.6,195.0,Delivered,8,August,2025
O00165,C0109,P020,2025-10-31,9,0.15,1886.26,1458.0,428.26,Delivered,10,October,2025
O00166,C0098,P019,2025-10-25,15,0.15,9242.98,6685.95,2557.03,Delivered,10,October,2025
O00167,C0215,P019,2025-03-17,13,0.15,8010.59,5794.49,2216.1,Delivered,3,March,2025
O00168,C0293,P012,2025-07-07,6,0.1,828.74,543.6,285.14,Delivered,7,July,2025
O00169,C0075,P037,2025-11-29,13,0.25,4602.2,4419.74,182.46,Delivered,11,November,2025
O00170,C0146,P042,2025-09-03,7,0.15,1041.9,774.83,267.07,Delivered,9,September,2025
O00171,C0128,P017,2025-05-10,4,0.2,355.04,328.52,26.52,Delivered,5,May,2025
O00172,C0042,P037,2025-11-11,4,0.1,1699.27,1359.92,339.35,Delivered,11,November,2025
O00173,C0041,P048,2025-10-10,12,0.0,2681.64,2130.0,551.64,Delivered,10,October,2025
O00174,C0034,P039,2025-03-20,13,0.1,5553.17,4976.14,577.03,Delivered,3,March,2025
O00175,C0017,P028,2025-03-13,2,0.0,405.5,346.54,58.96,Cancelled,3,March,2025
O00176,C0165,P041,2025-09-20,5,0.1,2586.33,1814.95,771.38,Delivered,9,September,2025
O00177,C0153,P035,2025-07-10,8,0.1,1217.81,816.16,401.65,Delivered,7,July,2025
O00178,C0076,P047,2025-03-04,7,0.1,2114.85,1731.1,383.75,Cancelled,3,March,2025
O00179,C0087,P048,2025-01-12,7,0.0,1564.29,1242.5,321.79,Cancelled,1,January,2025
O00180,C0117,P018,2025-05-21,6,0.0,384.36,311.58,72.78,Delivered,5,May,2025
O00181,C0027,P014,2025-09-11,3,0.1,828.04,754.05,73.99,Delivered,9,September,2025
O00182,C0287,P035,2025-02-12,5,0.25,634.28,510.1,124.18,Delivered,2,February,2025
O00183,C0134,P044,2025-01-17,13,0.05,1834.1,1232.53,601.57,Delivered,1,January,2025
O00184,C0219,P041,2025-03-04,1,0.1,517.27,362.99,154.28,Delivered,3,March,2025
O00185,C0168,P007,2025-09-10,7,0.15,1105.75,896.14,209.61,Delivered,9,September,2025
O00186,C0098,P041,2025-10-19,9,0.1,4655.39,3266.91,1388.48,Delivered,10,October,2025
O00187,C0268,P013,2025-01-08,1,0.05,332.36,229.48,102.88,Delivered,1,January,2025
O00188,C0237,P018,2025-11-21,13,0.1,749.5,675.09,74.41,Delivered,11,November,2025
O00189,C0173,P037,2025-03-31,2,0.0,944.04,679.96,264.08,Cancelled,3,March,2025
O00190,C0190,P013,2025-07-27,3,0.25,787.16,688.44,98.72,Delivered,7,July,2025
O00191,C0122,P036,2025-10-19,3,0.0,195.96,159.78,36.18,Returned,10,October,2025
O00192,C0046,P031,2025-10-11,8,0.05,5542.83,3481.12,2061.71,Returned,10,October,2025
O00193,C0064,P002,2025-04-28,7,0.0,3483.13,2464.21,1018.92,Delivered,4,April,2025
O00194,C0130,P016,2025-12-15,6,0.0,1539.36,1008.36,531.0,Delivered,12,December,2025
O00195,C0193,P009,2025-06-24,15,0.15,6129.56,4267.65,1861.91,Delivered,6,June,2025
O00196,C0181,P009,2025-03-17,10,0.0,4807.5,2845.1,1962.4,Delivered,3,March,2025
O00197,C0292,P038,2025-04-11,10,0.0,4382.8,2691.5,1691.3,Delivered,4,April,2025
O00198,C0282,P011,2025-05-31,11,0.1,3975.34,2992.33,983.01,Delivered,5,May,2025
O00199,C0029,P022,2025-09-27,4,0.0,898.6,532.88,365.72,Returned,9,September,2025
O00200,C0149,P033,2025-03-12,9,0.0,4962.06,3020.58,1941.48,Delivered,3,March,2025
O00201,C0267,P036,2025-06-29,1,0.15,55.52,53.26,2.26,Delivered,6,June,2025
O00202,C0296,P045,2025-05-04,11,0.15,5121.37,4083.09,1038.28,Delivered,5,May,2025
O00203,C0011,P023,2025-10-20,15,0.2,6128.52,4719.6,1408.92,Delivered,10,October,2025
O00204,C0164,P045,2025-10-12,2,0.2,876.38,742.38,134.0,Cancelled,10,October,2025
O00205,C0113,P045,2025-07-14,15,0.15,6983.68,5567.85,1415.83,Delivered,7,July,2025
O00206,C0187,P034,2025-08-16,14,0.0,7216.86,5933.06,1283.8,Delivered,8,August,2025
O00207,C0295,P009,2025-10-02,4,0.15,1634.55,1138.04,496.51,Delivered,10,October,2025
O00208,C0232,P024,2025-04-16,3,0.15,1101.57,1044.3,57.27,Delivered,4,April,2025
O00209,C0227,P008,2025-01-21,1,0.15,80.89,73.81,7.08,Delivered,1,January,2025
O00210,C0098,P007,2025-03-05,5,0.1,836.28,640.1,196.18,Delivered,3,March,2025
O00211,C0055,P036,2025-06-14,7,0.0,457.24,372.82,84.42,Delivered,6,June,2025
O00212,C0111,P018,2025-01-27,2,0.15,108.9,103.86,5.04,Cancelled,1,January,2025
O00213,C0152,P003,2025-11-07,5,0.15,611.15,522.45,88.7,Cancelled,11,November,2025
O00214,C0246,P028,2025-10-12,6,0.25,912.38,1039.62,-127.24,Delivered,10,October,2025
O00215,C0069,P006,2025-05-28,11,0.0,4233.02,2648.03,1584.99,Delivered,5,May,2025
O00216,C0289,P044,2025-10-08,7,0.0,1039.57,663.67,375.9,Delivered,10,October,2025
O00217,C0250,P044,2025-11-22,1,0.0,148.51,94.81,53.7,Delivered,11,November,2025
O00218,C0036,P021,2025-11-15,7,0.15,3229.36,2584.4,644.96,Delivered,11,November,2025
O00219,C0239,P028,2025-06-13,4,0.0,811.0,693.08,117.92,Delivered,6,June,2025
O00220,C0148,P040,2025-08-12,8,0.0,869.36,675.2,194.16,Delivered,8,August,2025
O00221,C0227,P001,2025-09-29,13,0.25,2302.36,1871.87,430.49,Delivered,9,September,2025
O00222,C0244,P036,2025-05-26,4,0.0,261.28,213.04,48.24,Delivered,5,May,2025
O00223,C0201,P021,2025-12-22,6,0.15,2768.02,2215.2,552.82,Delivered,12,December,2025
O00224,C0154,P043,2025-01-30,9,0.05,1240.6,850.95,389.65,Delivered,1,January,2025
O00225,C0073,P035,2025-02-14,5,0.15,718.84,510.1,208.74,Delivered,2,February,2025
O00226,C0201,P013,2025-10-02,14,0.1,4408.11,3212.72,1195.39,Cancelled,10,October,2025
O00227,C0296,P049,2025-02-03,12,0.2,6473.47,4773.72,1699.75,Delivered,2,February,2025
O00228,C0017,P010,2025-05-21,4,0.2,652.26,590.68,61.58,Delivered,5,May,2025
O00229,C0129,P044,2025-11-14,8,0.0,1188.08,758.48,429.6,Delivered,11,November,2025
O00230,C0217,P047,2025-08-09,13,0.0,4363.97,3214.9,1149.07,Delivered,8,August,2025
O00231,C0061,P010,2025-12-22,9,0.05,1742.75,1329.03,413.72,Delivered,12,December,2025
O00232,C0104,P046,2025-01-22,4,0.15,1361.22,1230.84,130.38,Delivered,1,January,2025
O00233,C0042,P013,2025-06-29,3,0.2,839.64,688.44,151.2,Cancelled,6,June,2025
O00234,C0025,P037,2025-11-25,8,0.1,3398.54,2719.84,678.7,Delivered,11,November,2025
O00235,C0039,P038,2025-08-19,14,0.1,5522.33,3768.1,1754.23,Delivered,8,August,2025
O00236,C0291,P024,2025-02-07,5,0.0,2159.95,1740.5,419.45,Delivered,2,February,2025
O00237,C0131,P002,2025-03-11,2,0.15,845.9,704.06,141.84,Delivered,3,March,2025
O00238,C0229,P022,2025-04-26,10,0.25,1684.88,1332.2,352.68,Delivered,4,April,2025
O00239,C0108,P017,2025-08-27,9,0.05,948.62,739.17,209.45,Delivered,8,August,2025
O00240,C0172,P036,2025-12-01,3,0.1,176.36,159.78,16.58,Delivered,12,December,2025
O00241,C0102,P014,2025-05-28,12,0.0,3680.16,3016.2,663.96,Delivered,5,May,2025
O00242,C0012,P010,2025-01-09,2,0.1,366.89,295.34,71.55,Delivered,1,January,2025
O00243,C0275,P035,2025-10-15,1,0.1,152.23,102.02,50.21,Delivered,10,October,2025
O00244,C0101,P025,2025-02-19,14,0.0,5206.6,3894.1,1312.5,Delivered,2,February,2025
O00245,C0044,P003,2025-12-04,8,0.1,1035.36,835.92,199.44,Delivered,12,December,2025
O00246,C0017,P047,2025-01-05,11,0.05,3507.96,2720.3,787.66,Cancelled,1,January,2025
O00247,C0057,P038,2025-12-09,3,0.1,1183.36,807.45,375.91,Delivered,12,December,2025
O00248,C0012,P017,2025-05-06,7,0.1,698.98,574.91,124.07,Delivered,5,May,2025
O00249,C0080,P012,2025-03-16,1,0.0,153.47,90.6,62.87,Delivered,3,March,2025
O00250,C0216,P024,2025-06-14,1,0.15,367.19,348.1,19.09,Delivered,6,June,2025
O00251,C0264,P029,2025-10-05,15,0.15,7990.3,6300.75,1689.55,Delivered,10,October,2025
O00252,C0149,P043,2025-11-20,12,0.05,1654.14,1134.6,519.54,Delivered,11,November,2025
O00253,C0081,P025,2025-10-27,9,0.0,3347.1,2503.35,843.75,Delivered,10,October,2025
O00254,C0215,P036,2025-10-17,15,0.15,832.83,798.9,33.93,Delivered,10,October,2025
O00255,C0198,P026,2025-03-18,12,0.25,2635.56,2705.04,-69.48,Delivered,3,March,2025
O00256,C0200,P038,2025-10-25,8,0.0,3506.24,2153.2,1353.04,Delivered,10,October,2025
O00257,C0025,P001,2025-05-17,12,0.05,2692.0,1727.88,964.12,Cancelled,5,May,2025
O00258,C0089,P020,2025-04-16,13,0.0,3205.41,2106.0,1099.41,Delivered,4,April,2025
O00259,C0268,P028,2025-04-05,3,0.1,547.43,519.81,27.62,Cancelled,4,April,2025
O00260,C0143,P016,2025-05-15,6,0.0,1539.36,1008.36,531.0,Delivered,5,May,2025
O00261,C0059,P047,2025-03-09,11,0.05,3507.96,2720.3,787.66,Delivered,3,March,2025
O00262,C0026,P017,2025-05-27,3,0.15,282.92,246.39,36.53,Cancelled,5,May,2025
O00263,C0047,P040,2025-06-08,13,0.1,1271.44,1097.2,174.24,Cancelled,6,June,2025
O00264,C0288,P028,2025-06-12,12,0.05,2311.35,2079.24,232.11,Delivered,6,June,2025
O00265,C0266,P012,2025-12-07,4,0.1,552.49,362.4,190.09,Delivered,12,December,2025
O00266,C0016,P027,2025-07-08,1,0.1,287.39,200.03,87.36,Delivered,7,July,2025
O00267,C0199,P042,2025-12-05,5,0.0,875.55,553.45,322.1,Delivered,12,December,2025
O00268,C0282,P047,2025-04-05,1,0.0,335.69,247.3,88.39,Delivered,4,April,2025
O00269,C0086,P030,2025-06-30,13,0.2,6319.46,4914.13,1405.33,Delivered,6,June,2025
O00270,C0250,P041,2025-10-15,1,0.0,574.74,362.99,211.75,Delivered,10,October,2025
O00271,C0270,P034,2025-11-18,10,0.15,4381.66,4237.9,143.76,Delivered,11,November,2025
O00272,C0117,P037,2025-07-06,15,0.2,5664.24,5099.7,564.54,Delivered,7,July,2025
O00273,C0007,P006,2025-05-18,11,0.05,4021.37,2648.03,1373.34,Delivered,5,May,2025
O00274,C0137,P007,2025-05-10,11,0.05,1942.03,1408.22,533.81,Delivered,5,May,2025
O00275,C0176,P032,2025-07-13,14,0.1,1329.05,1089.62,239.43,Delivered,7,July,2025
O00276,C0215,P032,2025-11-12,7,0.2,590.69,544.81,45.88,Delivered,11,November,2025
O00277,C0082,P025,2025-09-30,12,0.2,3570.24,3337.8,232.44,Delivered,9,September,2025
O00278,C0223,P033,2025-12-18,6,0.15,2811.83,2013.72,798.11,Cancelled,12,December,2025
O00279,C0103,P007,2025-05-24,2,0.0,371.68,256.04,115.64,Delivered,5,May,2025
O00280,C0273,P012,2025-01-16,14,0.15,1826.29,1268.4,557.89,Delivered,1,January,2025
