inventory_id,full_date,product_id,warehouse,opening_stock,stock_received,units_sold,closing_stock,year,month,month_name
I00034,2025-01-01,P034,WH_Delhi,417,84,135,366,2025,1,January
I00035,2025-01-01,P035,WH_Hyderabad,262,230,14,478,2025,1,January
I00036,2025-01-01,P036,WH_Mumbai,422,148,155,415,2025,1,January
I00037,2025-01-01,P037,WH_Bengaluru,275,50,83,242,2025,1,January
I00038,2025-01-01,P038,WH_Mumbai,298,231,33,496,2025,1,January
I00039,2025-01-01,P039,WH_Mumbai,87,184,53,218,2025,1,January
I00040,2025-01-01,P040,WH_Delhi,492,74,171,395,2025,1,January
I00041,2025-01-01,P041,WH_Pune,72,85,133,24,2025,1,January
I00042,2025-01-01,P042,WH_Delhi,89,168,56,201,2025,1,January
I00043,2025-01-01,P043,WH_Bengaluru,158,23,77,104,2025,1,January
I00044,2025-01-01,P044,WH_Bengaluru,85,129,54,160,2025,1,January
I00045,2025-01-01,P045,WH_Bengaluru,203,206,32,377,2025,1,January
I00046,2025-01-01,P046,WH_Bengaluru,140,162,143,159,2025,1,January
I00047,2025-01-01,P047,WH_Delhi,277,52,103,226,2025,1,January
I00048,2025-01-01,P048,WH_Mumbai,303,220,47,476,2025,1,January
I00049,2025-01-01,P049,WH_Bengaluru,236,102,52,286,2025,1,January
I00050,2025-01-01,P050,WH_Pune,309,67,14,362,2025,1,January
I00051,2025-02-01,P001,WH_Bengaluru,172,152,89,235,2025,2,February
I00052,2025-02-01,P002,WH_Delhi,206,213,171,248,2025,2,February
I00053,2025-02-01,P003,WH_Delhi,472,170,35,607,2025,2,February
I00054,2025-02-01,P004,WH_Bengaluru,472,121,153,440,2025,2,February
I00055,2025-02-01,P005,WH_Delhi,145,97,15,227,2025,2,February
I00056,2025-02-01,P006,WH_Delhi,460,173,129,504,2025,2,February
I00057,2025-02-01,P007,WH_Mumbai,74,145,95,124,2025,2,February
I00058,2025-02-01,P008,WH_Bengaluru,136,166,118,184,2025,2,February
I00059,2025-02-01,P009,WH_Mumbai,315,225,83,457,2025,2,February
I00060,2025-02-01,P010,WH_Hyderabad,359,101,166,294,2025,2,February
I00061,2025-02-01,P011,WH_Mumbai,186,141,174,153,2025,2,February
I00062,2025-02-01,P012,WH_Hyderabad,122,166,81,207,2025,2,February
I00063,2025-02-01,P013,WH_Delhi,488,231,120,599,2025,2,February
I00064,2025-02-01,P014,WH_Mumbai,401,18,80,339,2025,2,February
I00065,2025-02-01,P015,WH_Pune,99,183,55,227,2025,2,February
I00066,2025-02-01,P016,WH_Mumbai,388,53,60,381,2025,2,February
I00067,2025-02-01,P017,WH_Delhi,395,117,90,422,2025,2,February
I00068,2025-02-01,P018,WH_Bengaluru,324,175,36,463,2025,2,February
I00069,2025-02-01,P019,WH_Bengaluru,298,224,156,366,2025,2,February
I00070,2025-02-01,P020,WH_Delhi,56,246,166,136,2025,2,February
I00071,2025-02-01,P021,WH_Delhi,118,112,103,127,2025,2,February
I00072,2025-02-01,P022,WH_Delhi,425,169,145,449,2025,2,February
I00073,2025-02-01,P023,WH_Bengaluru,91,153,22,222,2025,2,February
I00074,2025-02-01,P024,WH_Pune,347,243,60,530,2025,2,February
I00075,2025-02-01,P025,WH_Mumbai,261,100,153,208,2025,2,February
I00076,2025-02-01,P026,WH_Delhi,303,249,88,464,2025,2,February
I00077,2025-02-01,P027,WH_Pune,222,231,159,294,2025,2,February
I00078,2025-02-01,P028,WH_Delhi,495,67,122,440,2025,2,February
I00079,2025-02-01,P029,WH_Delhi,359,232,66,525,2025,2,February
I00080,2025-02-01,P030,WH_Bengaluru,378,116,64,430,2025,2,February
I00081,2025-02-01,P031,WH_Mumbai,75,172,72,175,2025,2,February
I00082,2025-02-01,P032,WH_Mumbai,384,224,176,432,2025,2,February
I00083,2025-02-01,P033,WH_Mumbai,118,235,18,335,2025,2,February
I00084,2025-02-01,P034,WH_Bengaluru,222,27,35,214,2025,2,February
I00085,2025-02-01,P035,WH_Delhi,87,63,94,56,2025,2,February
I00086,2025-02-01,P036,WH_Pune,148,189,140,197,2025,2,February
I00087,2025-02-01,P037,WH_Bengaluru,140,212,39,313,2025,2,February
I00088,2025-02-01,P038,WH_Hyderabad,109,103,47,165,2025,2,February
I00089,2025-02-01,P039,WH_Pune,229,111,38,302,2025,2,February
I00090,2025-02-01,P040,WH_Bengaluru,70,232,154,148,2025,2,February
I00091,2025-02-01,P041,WH_Delhi,195,164,128,231,2025,2,February
I00092,2025-02-01,P042,WH_Bengaluru,215,202,149,268,2025,2,February
I00093,2025-02-01,P043,WH_Bengaluru,162,57,138,81,2025,2,February
I00094,2025-02-01,P044,WH_Delhi,304,22,158,168,2025,2,February
I00095,2025-02-01,P045,WH_Mumbai,295,236,92,439,2025,2,February
I00096,2025-02-01,P046,WH_Bengaluru,452,86,71,467,2025,2,February
I00097,2025-02-01,P047,WH_Delhi,472,203,109,566,2025,2,February
I00098,2025-02-01,P048,WH_Delhi,479,32,43,468,2025,2,February
I00099,2025-02-01,P049,WH_Bengaluru,272,177,105,344,2025,2,February
I00100,2025-02-01,P050,WH_Bengaluru,473,185,104,554,2025,2,February
I00101,2025-03-01,P001,WH_Hyderabad,90,243,146,187,2025,3,March
I00102,2025-03-01,P002,WH_Mumbai,240,204,88,356,2025,3,March
I00103,2025-03-01,P003,WH_Pune,191,97,47,241,2025,3,March
I00104,2025-03-01,P004,WH_Bengaluru,326,45,65,306,2025,3,March
I00105,2025-03-01,P005,WH_Delhi,169,235,55,349,2025,3,March
I00106,2025-03-01,P006,WH_Bengaluru,80,171,170,81,2025,3,March
I00107,2025-03-01,P007,WH_Mumbai,435,51,154,332,2025,3,March
I00108,2025-03-01,P008,WH_Hyderabad,342,43,179,206,2025,3,March
I00109,2025-03-01,P009,WH_Mumbai,422,98,47,473,2025,3,March
I00110,2025-03-01,P010,WH_Bengaluru,280,67,15,332,2025,3,March
I00111,2025-03-01,P011,WH_Delhi,406,185,172,419,2025,3,March
I00112,2025-03-01,P012,WH_Mumbai,250,12,143,119,2025,3,March
I00113,2025-03-01,P013,WH_Delhi,263,243,39,467,2025,3,March
I00114,2025-03-01,P014,WH_Bengaluru,307,35,67,275,2025,3,March
I00115,2025-03-01,P015,WH_Hyderabad,442,192,135,499,2025,3,March
I00116,2025-03-01,P016,WH_Hyderabad,99,97,41,155,2025,3,March
I00117,2025-03-01,P017,WH_Delhi,430,77,104,403,2025,3,March
I00118,2025-03-01,P018,WH_Hyderabad,480,18,72,426,2025,3,March
I00119,2025-03-01,P019,WH_Delhi,442,36,110,368,2025,3,March
I00120,2025-03-01,P020,WH_Delhi,141,184,61,264,2025,3,March
I00121,2025-03-01,P021,WH_Bengaluru,85,63,125,23,2025,3,March
I00122,2025-03-01,P022,WH_Pune,394,195,172,417,2025,3,March
I00123,2025-03-01,P023,WH_Pune,313,6,24,295,2025,3,March
I00124,2025-03-01,P024,WH_Pune,322,213,95,440,2025,3,March
I00125,2025-03-01,P025,WH_Bengaluru,259,173,65,367,2025,3,March
I00126,2025-03-01,P026,WH_Hyderabad,65,127,11,181,2025,3,March
I00127,2025-03-01,P027,WH_Bengaluru,397,181,114,464,2025,3,March
I00128,2025-03-01,P028,WH_Delhi,336,163,178,321,2025,3,March
I00129,2025-03-01,P029,WH_Delhi,370,220,59,531,2025,3,March
I00130,2025-03-01,P030,WH_Mumbai,249,121,153,217,2025,3,March
I00131,2025-03-01,P031,WH_Bengaluru,391,21,91,321,2025,3,March
I00132,2025-03-01,P032,WH_Mumbai,381,88,156,313,2025,3,March
I00133,2025-03-01,P033,WH_Pune,364,161,78,447,2025,3,March
I00134,2025-03-01,P034,WH_Delhi,123,100,16,207,2025,3,March
I00135,2025-03-01,P035,WH_Bengaluru,237,206,61,382,2025,3,March
I00136,2025-03-01,P036,WH_Pune,73,124,35,162,2025,3,March
I00137,2025-03-01,P037,WH_Pune,395,9,131,273,2025,3,March
I00138,2025-03-01,P038,WH_Mumbai,294,111,11,394,2025,3,March
I00139,2025-03-01,P039,WH_Hyderabad,76,175,80,171,2025,3,March
I00140,2025-03-01,P040,WH_Pune,297,8,127,178,2025,3,March
I00141,2025-03-01,P041,WH_Mumbai,76,80,102,54,2025,3,March
I00142,2025-03-01,P042,WH_Bengaluru,248,231,52,427,2025,3,March
I00143,2025-03-01,P043,WH_Bengaluru,388,43,93,338,2025,3,March
I00144,2025-03-01,P044,WH_Mumbai,108,102,150,60,2025,3,March
I00145,2025-03-01,P045,WH_Mumbai,417,97,95,419,2025,3,March
I00146,2025-03-01,P046,WH_Mumbai,478,215,155,538,2025,3,March
I00147,2025-03-01,P047,WH_Bengaluru,365,1,115,251,2025,3,March
I00148,2025-03-01,P048,WH_Pune,396,47,23,420,2025,3,March
I00149,2025-03-01,P049,WH_Hyderabad,294,11,65,240,2025,3,March
I00150,2025-03-01,P050,WH_Bengaluru,360,109,165,304,2025,3,March
I00151,2025-04-01,P001,WH_Mumbai,53,177,45,185,2025,4,April
I00152,2025-04-01,P002,WH_Delhi,306,198,26,478,2025,4,April
I00153,2025-04-01,P003,WH_Hyderabad,196,109,112,193,2025,4,April
I00154,2025-04-01,P004,WH_Pune,276,232,100,408,2025,4,April
I00155,2025-04-01,P005,WH_Pune,227,153,98,282,2025,4,April
I00156,2025-04-01,P006,WH_Mumbai,277,238,141,374,2025,4,April
I00157,2025-04-01,P007,WH_Pune,383,188,115,456,2025,4,April
I00158,2025-04-01,P008,WH_Bengaluru,123,122,19,226,2025,4,April
I00159,2025-04-01,P009,WH_Pune,494,39,164,369,2025,4,April
I00160,2025-04-01,P010,WH_Mumbai,176,195,42,329,2025,4,April
I00161,2025-04-01,P011,WH_Mumbai,193,97,142,148,2025,4,April
I00162,2025-04-01,P012,WH_Bengaluru,456,113,52,517,2025,4,April
I00163,2025-04-01,P013,WH_Mumbai,490,127,22,595,2025,4,April
I00164,2025-04-01,P014,WH_Delhi,101,164,26,239,2025,4,April
I00165,2025-04-01,P015,WH_Hyderabad,239,96,93,242,2025,4,April
I00166,2025-04-01,P016,WH_Pune,401,55,17,439,2025,4,April
I00167,2025-04-01,P017,WH_Hyderabad,153,197,92,258,2025,4,April
I00168,2025-04-01,P018,WH_Bengaluru,493,111,112,492,2025,4,April
I00169,2025-04-01,P019,WH_Mumbai,198,201,51,348,2025,4,April
I00170,2025-04-01,P020,WH_Pune,293,207,166,334,2025,4,April
I00171,2025-04-01,P021,WH_Mumbai,450,25,39,436,2025,4,April
I00172,2025-04-01,P022,WH_Hyderabad,430,52,28,454,2025,4,April
I00173,2025-04-01,P023,WH_Hyderabad,322,212,113,421,2025,4,April
I00174,2025-04-01,P024,WH_Hyderabad,410,191,113,488,2025,4,April
I00175,2025-04-01,P025,WH_Hyderabad,226,123,156,193,2025,4,April
I00176,2025-04-01,P026,WH_Mumbai,242,120,46,316,2025,4,April
I00177,2025-04-01,P027,WH_Pune,179,223,68,334,2025,4,April
I00178,2025-04-01,P028,WH_Mumbai,289,132,127,294,2025,4,April
I00179,2025-04-01,P029,WH_Hyderabad,336,93,108,321,2025,4,April
I00180,2025-04-01,P030,WH_Hyderabad,321,76,29,368,2025,4,April
I00181,2025-04-01,P031,WH_Bengaluru,475,94,55,514,2025,4,April
I00182,2025-04-01,P032,WH_Pune,113,130,166,77,2025,4,April
I00183,2025-04-01,P033,WH_Mumbai,252,213,162,303,2025,4,April
I00184,2025-04-01,P034,WH_Pune,223,83,82,224,2025,4,April
I00185,2025-04-01,P035,WH_Delhi,70,156,159,67,2025,4,April
I00186,2025-04-01,P036,WH_Mumbai,110,68,73,105,2025,4,April
I00187,2025-04-01,P037,WH_Delhi,178,64,115,127,2025,4,April
I00188,2025-04-01,P038,WH_Pune,367,59,112,314,2025,4,April
I00189,2025-04-01,P039,WH_Hyderabad,162,217,159,220,2025,4,April
I00190,2025-04-01,P040,WH_Hyderabad,119,239,169,189,2025,4,April
I00191,2025-04-01,P041,WH_Delhi,187,246,176,257,2025,4,April
I00192,2025-04-01,P042,WH_Pune,80,242,21,301,2025,4,April
I00193,2025-04-01,P043,WH_Bengaluru,385,66,175,276,2025,4,April
I00194,2025-04-01,P044,WH_Pune,357,138,142,353,2025,4,April
I00195,2025-04-01,P045,WH_Pune,330,162,44,448,2025,4,April
I00196,2025-04-01,P046,WH_Hyderabad,488,226,105,609,2025,4,April
I00197,2025-04-01,P047,WH_Hyderabad,166,105,29,242,2025,4,April
I00198,2025-04-01,P048,WH_Pune,53,50,27,76,2025,4,April
I00199,2025-04-01,P049,WH_Bengaluru,69,136,131,74,2025,4,April
I00200,2025-04-01,P050,WH_Pune,407,195,34,568,2025,4,April
I00201,2025-05-01,P001,WH_Mumbai,108,40,54,94,2025,5,May
I00202,2025-05-01,P002,WH_Hyderabad,324,126,23,427,2025,5,May
I00203,2025-05-01,P003,WH_Hyderabad,448,36,12,472,2025,5,May
I00204,2025-05-01,P004,WH_Hyderabad,479,141,25,595,2025,5,May
I00205,2025-05-01,P005,WH_Mumbai,288,141,16,413,2025,5,May
I00206,2025-05-01,P006,WH_Hyderabad,64,161,81,144,2025,5,May
I00207,2025-05-01,P007,WH_Mumbai,401,240,131,510,2025,5,May
I00208,2025-05-01,P008,WH_Delhi,246,79,157,168,2025,5,May
I00209,2025-05-01,P009,WH_Pune,291,46,139,198,2025,5,May
I00210,2025-05-01,P010,WH_Pune,238,13,50,201,2025,5,May
I00211,2025-05-01,P011,WH_Hyderabad,281,191,14,458,2025,5,May
I00212,2025-05-01,P012,WH_Hyderabad,252,112,14,350,2025,5,May
I00213,2025-05-01,P013,WH_Bengaluru,128,191,28,291,2025,5,May
I00214,2025-05-01,P014,WH_Pune,361,203,26,538,2025,5,May
I00215,2025-05-01,P015,WH_Mumbai,489,201,26,664,2025,5,May
I00216,2025-05-01,P016,WH_Bengaluru,259,172,155,276,2025,5,May
I00217,2025-05-01,P017,WH_Pune,107,207,27,287,2025,5,May
I00218,2025-05-01,P018,WH_Mumbai,184,225,85,324,2025,5,May
I00219,2025-05-01,P019,WH_Pune,118,130,94,154,2025,5,May
I00220,2025-05-01,P020,WH_Delhi,158,226,53,331,2025,5,May
I00221,2025-05-01,P021,WH_Bengaluru,67,226,102,191,2025,5,May
I00222,2025-05-01,P022,WH_Bengaluru,343,215,157,401,2025,5,May
I00223,2025-05-01,P023,WH_Delhi,221,18,60,179,2025,5,May
I00224,2025-05-01,P024,WH_Bengaluru,274,140,75,339,2025,5,May
I00225,2025-05-01,P025,WH_Pune,238,97,167,168,2025,5,May
I00226,2025-05-01,P026,WH_Delhi,295,175,97,373,2025,5,May
I00227,2025-05-01,P027,WH_Bengaluru,82,240,114,208,2025,5,May
I00228,2025-05-01,P028,WH_Pune,387,70,28,429,2025,5,May
I00229,2025-05-01,P029,WH_Mumbai,452,168,88,532,2025,5,May
I00230,2025-05-01,P030,WH_Pune,229,3,125,107,2025,5,May
I00231,2025-05-01,P031,WH_Bengaluru,54,107,50,111,2025,5,May
I00232,2025-05-01,P032,WH_Hyderabad,406,182,84,504,2025,5,May
I00233,2025-05-01,P033,WH_Delhi,62,187,151,98,2025,5,May
I00234,2025-05-01,P034,WH_Mumbai,164,9,91,82,2025,5,May
I00235,2025-05-01,P035,WH_Bengaluru,99,14,151,0,2025,5,May
I00236,2025-05-01,P036,WH_Pune,207,81,39,249,2025,5,May
I00237,2025-05-01,P037,WH_Bengaluru,382,176,157,401,2025,5,May
I00238,2025-05-01,P038,WH_Pune,84,105,32,157,2025,5,May
I00239,2025-05-01,P039,WH_Mumbai,279,99,124,254,2025,5,May
I00240,2025-05-01,P040,WH_Hyderabad,104,167,17,254,2025,5,May
I00241,2025-05-01,P041,WH_Delhi,177,92,41,228,2025,5,May
I00242,2025-05-01,P042,WH_Pune,390,219,143,466,2025,5,May
I00243,2025-05-01,P043,WH_Pune,85,44,169,0,2025,5,May
I00244,2025-05-01,P044,WH_Pune,358,8,119,247,2025,5,May
I00245,2025-05-01,P045,WH_Delhi,136,74,123,87,2025,5,May
I00246,2025-05-01,P046,WH_Mumbai,179,49,20,208,2025,5,May
I00247,2025-05-01,P047,WH_Delhi,468,142,131,479,2025,5,May
I00248,2025-05-01,P048,WH_Delhi,380,91,40,431,2025,5,May
I00249,2025-05-01,P049,WH_Bengaluru,273,211,162,322,2025,5,May
I00250,2025-05-01,P050,WH_Bengaluru,458,210,84,584,2025,5,May
I00251,2025-06-01,P001,WH_Bengaluru,178,109,51,236,2025,6,June
I00252,2025-06-01,P002,WH_Pune,277,76,27,326,2025,6,June
I00253,2025-06-01,P003,WH_Delhi,438,193,29,602,2025,6,June
I00254,2025-06-01,P004,WH_Delhi,111,185,41,255,2025,6,June
I00255,2025-06-01,P005,WH_Pune,215,73,37,251,2025,6,June
I00256,2025-06-01,P006,WH_Mumbai,71,95,173,0,2025,6,June
I00257,2025-06-01,P007,WH_Pune,299,51,132,218,2025,6,June
I00258,2025-06-01,P008,WH_Bengaluru,461,185,87,559,2025,6,June
I00259,2025-06-01,P009,WH_Bengaluru,375,20,146,249,2025,6,June
I00260,2025-06-01,P010,WH_Bengaluru,110,39,104,45,2025,6,June
I00261,2025-06-01,P011,WH_Bengaluru,336,185,164,357,2025,6,June
I00262,2025-06-01,P012,WH_Mumbai,458,69,78,449,2025,6,June
I00263,2025-06-01,P013,WH_Hyderabad,164,7,100,71,2025,6,June
I00264,2025-06-01,P014,WH_Mumbai,320,6,114,212,2025,6,June
I00265,2025-06-01,P015,WH_Delhi,320,82,174,228,2025,6,June
I00266,2025-06-01,P016,WH_Delhi,260,91,66,285,2025,6,June
I00267,2025-06-01,P017,WH_Mumbai,452,190,136,506,2025,6,June
I00268,2025-06-01,P018,WH_Delhi,384,106,19,471,2025,6,June
I00269,2025-06-01,P019,WH_Delhi,111,145,140,116,2025,6,June
I00270,2025-06-01,P020,WH_Mumbai,156,185,157,184,2025,6,June
I00271,2025-06-01,P021,WH_Hyderabad,391,78,130,339,2025,6,June
I00272,2025-06-01,P022,WH_Pune,198,95,38,255,2025,6,June
I00273,2025-06-01,P023,WH_Pune,62,150,56,156,2025,6,June
I00274,2025-06-01,P024,WH_Pune,264,115,141,238,2025,6,June
I00275,2025-06-01,P025,WH_Mumbai,301,52,94,259,2025,6,June
I00276,2025-06-01,P026,WH_Pune,373,56,88,341,2025,6,June
I00277,2025-06-01,P027,WH_Mumbai,247,146,144,249,2025,6,June
I00278,2025-06-01,P028,WH_Bengaluru,112,38,74,76,2025,6,June
I00279,2025-06-01,P029,WH_Delhi,158,171,35,294,2025,6,June
I00280,2025-06-01,P030,WH_Bengaluru,455,219,86,588,2025,6,June
I00281,2025-06-01,P031,WH_Bengaluru,285,186,175,296,2025,6,June
I00282,2025-06-01,P032,WH_Pune,101,188,72,217,2025,6,June
I00283,2025-06-01,P033,WH_Mumbai,211,40,48,203,2025,6,June
I00284,2025-06-01,P034,WH_Mumbai,413,64,174,303,2025,6,June
I00285,2025-06-01,P035,WH_Mumbai,67,32,105,0,2025,6,June
I00286,2025-06-01,P036,WH_Hyderabad,259,249,136,372,2025,6,June
I00287,2025-06-01,P037,WH_Pune,431,224,173,482,2025,6,June
I00288,2025-06-01,P038,WH_Hyderabad,83,144,33,194,2025,6,June
I00289,2025-06-01,P039,WH_Mumbai,397,21,134,284,2025,6,June
I00290,2025-06-01,P040,WH_Hyderabad,64,52,162,0,2025,6,June
I00291,2025-06-01,P041,WH_Hyderabad,407,31,122,316,2025,6,June
I00292,2025-06-01,P042,WH_Hyderabad,477,193,92,578,2025,6,June
I00293,2025-06-01,P043,WH_Pune,275,14,23,266,2025,6,June
I00294,2025-06-01,P044,WH_Bengaluru,339,82,173,248,2025,6,June
I00295,2025-06-01,P045,WH_Mumbai,248,76,167,157,2025,6,June
I00296,2025-06-01,P046,WH_Delhi,496,140,172,464,2025,6,June
I00297,2025-06-01,P047,WH_Mumbai,295,116,45,366,2025,6,June
I00298,2025-06-01,P048,WH_Delhi,68,22,165,0,2025,6,June
I00299,2025-06-01,P049,WH_Mumbai,440,203,114,529,2025,6,June
I00300,2025-06-01,P050,WH_Hyderabad,191,142,55,278,2025,6,June
I00301,2025-07-01,P001,WH_Delhi,320,215,60,475,2025,7,July
I00302,2025-07-01,P002,WH_Bengaluru,159,68,17,210,2025,7,July
I00303,2025-07-01,P003,WH_Delhi,112,205,77,240,2025,7,July
I00304,2025-07-01,P004,WH_Bengaluru,457,118,15,560,2025,7,July
I00305,2025-07-01,P005,WH_Mumbai,80,226,15,291,2025,7,July
I00306,2025-07-01,P006,WH_Hyderabad,116,155,140,131,2025,7,July
I00307,2025-07-01,P007,WH_Pune,419,175,106,488,2025,7,July
I00308,2025-07-01,P008,WH_Delhi,443,227,42,628,2025,7,July
I00309,2025-07-01,P009,WH_Delhi,189,12,53,148,2025,7,July
I00310,2025-07-01,P010,WH_Bengaluru,362,143,105,400,2025,7,July
I00311,2025-07-01,P011,WH_Hyderabad,425,148,109,464,2025,7,July
I00312,2025-07-01,P012,WH_Bengaluru,356,59,30,385,2025,7,July
I00313,2025-07-01,P013,WH_Delhi,70,125,116,79,2025,7,July
I00314,2025-07-01,P014,WH_Hyderabad,439,192,82,549,2025,7,July
I00315,2025-07-01,P015,WH_Bengaluru,235,133,87,281,2025,7,July
I00316,2025-07-01,P016,WH_Mumbai,391,55,43,403,2025,7,July
I00317,2025-07-01,P017,WH_Delhi,308,189,179,318,2025,7,July
I00318,2025-07-01,P018,WH_Bengaluru,454,217,11,660,2025,7,July
I00319,2025-07-01,P019,WH_Pune,361,9,105,265,2025,7,July
I00320,2025-07-01,P020,WH_Pune,375,219,160,434,2025,7,July
I00321,2025-07-01,P021,WH_Mumbai,79,77,137,19,2025,7,July
I00322,2025-07-01,P022,WH_Hyderabad,104,33,58,79,2025,7,July
I00323,2025-07-01,P023,WH_Mumbai,221,30,31,220,2025,7,July
I00324,2025-07-01,P024,WH_Mumbai,198,19,25,192,2025,7,July
I00325,2025-07-01,P025,WH_Delhi,221,113,56,278,2025,7,July
I00326,2025-07-01,P026,WH_Delhi,353,206,148,411,2025,7,July
I00327,2025-07-01,P027,WH_Hyderabad,291,195,54,432,2025,7,July
I00328,2025-07-01,P028,WH_Mumbai,213,14,96,131,2025,7,July
I00329,2025-07-01,P029,WH_Bengaluru,401,101,177,325,2025,7,July
I00330,2025-07-01,P030,WH_Mumbai,262,111,60,313,2025,7,July
I00331,2025-07-01,P031,WH_Pune,320,87,74,333,2025,7,July
I00332,2025-07-01,P032,WH_Bengaluru,59,243,51,251,2025,7,July
I00333,2025-07-01,P033,WH_Hyderabad,400,117,20,497,2025,7,July
I00334,2025-07-01,P034,WH_Hyderabad,250,146,87,309,2025,7,July
I00335,2025-07-01,P035,WH_Mumbai,486,7,99,394,2025,7,July
I00336,2025-07-01,P036,WH_Delhi,416,57,167,306,2025,7,July
I00337,2025-07-01,P037,WH_Mumbai,171,47,117,101,2025,7,July
I00338,2025-07-01,P038,WH_Bengaluru,470,128,145,453,2025,7,July
I00339,2025-07-01,P039,WH_Bengaluru,247,227,56,418,2025,7,July
I00340,2025-07-01,P040,WH_Hyderabad,252,177,14,415,2025,7,July
I00341,2025-07-01,P041,WH_Pune,389,204,165,428,2025,7,July
I00342,2025-07-01,P042,WH_Hyderabad,335,85,10,410,2025,7,July
I00343,2025-07-01,P043,WH_Pune,479,30,78,431,2025,7,July
I00344,2025-07-01,P044,WH_Delhi,489,126,102,513,2025,7,July
I00345,2025-07-01,P045,WH_Bengaluru,65,180,63,182,2025,7,July
I00346,2025-07-01,P046,WH_Bengaluru,325,161,91,395,2025,7,July
I00347,2025-07-01,P047,WH_Hyderabad,241,108,160,189,2025,7,July
I00348,2025-07-01,P048,WH_Delhi,162,175,26,311,2025,7,July
I00349,2025-07-01,P049,WH_Hyderabad,227,125,177,175,2025,7,July
I00350,2025-07-01,P050,WH_Delhi,322,121,59,384,2025,7,July
I00351,2025-08-01,P001,WH_Pune,392,155,15,532,2025,8,August
I00352,2025-08-01,P002,WH_Pune,222,101,156,167,2025,8,August
I00353,2025-08-01,P003,WH_Hyderabad,200,159,120,239,2025,8,August
I00354,2025-08-01,P004,WH_Pune,140,186,38,288,2025,8,August
I00355,2025-08-01,P005,WH_Hyderabad,244,238,60,422,2025,8,August
I00356,2025-08-01,P006,WH_Hyderabad,433,213,20,626,2025,8,August
I00357,2025-08-01,P007,WH_Pune,177,66,15,228,2025,8,August
I00358,2025-08-01,P008,WH_Hyderabad,186,210,37,359,2025,8,August
I00359,2025-08-01,P009,WH_Bengaluru,254,42,47,249,2025,8,August
I00360,2025-08-01,P010,WH_Hyderabad,454,197,55,596,2025,8,August
I00361,2025-08-01,P011,WH_Mumbai,252,70,48,274,2025,8,August
I00362,2025-08-01,P012,WH_Hyderabad,50,248,169,129,2025,8,August
I00363,2025-08-01,P013,WH_Hyderabad,79,7,124,0,2025,8,August
I00364,2025-08-01,P014,WH_Mumbai,324,182,68,438,2025,8,August
I00365,2025-08-01,P015,WH_Bengaluru,360,154,53,461,2025,8,August
I00366,2025-08-01,P016,WH_Hyderabad,127,181,110,198,2025,8,August
I00367,2025-08-01,P017,WH_Hyderabad,171,171,153,189,2025,8,August
